knum	threshold	score_type	profile_type	F-measure	nseq	nseq_used	alen	mlen	eff_nseq	re/pos	definition
K08294	467.10	full	all	0.978921	174	167	2010	625	2.15	0.590	mitogen-activated protein kinase kinase [EC:2.7.12.2]
K08295	526.13	domain	trim	0.993622	826	783	1291	642	1.54	0.590	2-aminobenzoate-CoA ligase [EC:6.2.1.32]
K08296	83.23	domain	all	0.989451	5285	4471	1953	301	13.38	0.590	phosphohistidine phosphatase [EC:3.1.3.-]
K08297	570.40	full	all	0.995025	248	103	429	378	0.90	0.591	crotonobetainyl-CoA dehydrogenase [EC:1.3.8.13]
K08298	409.30	full	all	0.962022	263	152	504	405	1.30	0.590	L-carnitine CoA-transferase [EC:2.8.3.21]
K08299	309.17	full	all	0.984018	590	443	398	261	1.56	0.590	crotonobetainyl-CoA hydratase [EC:4.2.1.149]
K08300	618.00	full	all	0.964384	4943	4469	19111	780	3.82	0.590	ribonuclease E [EC:3.1.26.12]
K08301	603.43	domain	all	0.745554	4041	3132	3699	605	5.49	0.590	ribonuclease G [EC:3.1.26.-]
K08302	387.03	domain	all	0.701932	1037	726	747	300	3.12	0.590	tagatose 1,6-diphosphate aldolase GatY/KbaY [EC:4.1.2.40]
K08303	392.30	full	all	0.877875	5628	4661	5680	709	6.85	0.590	U32 family peptidase [EC:3.4.-.-]
K08304	172.93	full	all	1.000000	2787	2308	2530	535	5.36	0.590	peptidoglycan lytic transglycosylase A [EC:4.2.2.29]
K08305	91.73	full	all	0.983074	4212	3572	2891	560	7.36	0.590	peptidoglycan lytic transglycosylase B [EC:4.2.2.29]
K08306	238.50	full	all	0.988683	1025	713	1231	405	3.64	0.590	peptidoglycan lytic transglycosylase C [EC:4.2.2.29]
K08307	128.60	domain	all	0.997627	3859	3374	7034	735	14.26	0.590	peptidoglycan lytic transglycosylase D [EC:4.2.2.29]
K08308	232.70	domain	trim	0.990595	580	318	359	204	0.99	0.589	peptidoglycan lytic transglycosylase E [EC:4.2.2.29]
K08309	135.17	full	all	0.983442	4711	4140	7481	657	19.17	0.590	peptidoglycan lytic transglycosylase [EC:4.2.2.29]
K08310	85.97	domain	all	0.958385	1516	1102	488	197	4.75	0.590	dihydroneopterin triphosphate diphosphatase [EC:3.6.1.67]
K08311	69.03	domain	all	0.919651	3724	2676	1113	255	5.15	0.590	putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-]
K08312	173.40	full	all	0.998557	1499	1042	412	193	1.28	0.590	ADP compounds hydrolase [EC:3.6.1.-]
K08313	371.30	full	all	0.718540	399	276	299	220	1.11	0.589	fructose-6-phosphate aldolase 1 [EC:4.1.2.-]
K08314	369.27	full	all	0.912879	306	162	238	220	1.11	0.591	fructose-6-phosphate aldolase 2 [EC:4.1.2.-]
K08315	107.27	full	all	0.975932	684	486	513	189	4.29	0.590	hydrogenase 3 maturation protease [EC:3.4.23.51]
K08316	87.90	full	all	0.998781	7448	6154	2029	272	7.38	0.590	16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171]
K08317	343.67	full	all	0.983525	697	490	517	363	1.84	0.590	hydroxycarboxylate dehydrogenase A [EC:1.1.1.-]
K08318	341.43	domain	all	0.997290	297	186	398	298	1.18	0.591	4-hydroxybutyrate dehydrogenase / sulfolactaldehyde 3-reductase [EC:1.1.1.61 1.1.1.373]
K08319	320.60	domain	all	0.970040	997	767	586	303	2.01	0.590	L-threonate 2-dehydrogenase [EC:1.1.1.411]
K08320	152.73	full	trim	0.952008	448	272	314	146	2.54	0.590	(d)CTP diphosphatase [EC:3.6.1.65]
K08321	354.07	full	all	1.000000	549	335	693	507	1.21	0.591	3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase [EC:2.3.1.245]
K08322	373.30	domain	all	0.904692	541	405	671	340	3.12	0.590	L-gulonate 5-dehydrogenase [EC:1.1.1.380]
K08323	388.17	full	all	0.995628	1427	1147	756	403	1.26	0.590	mannonate dehydratase [EC:4.2.1.8]
K08324	688.70	domain	all	0.893341	644	514	659	461	1.16	0.591	succinate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.24]
K08325	468.73	full	all	0.997036	1536	1186	853	405	1.18	0.591	NADP-dependent alcohol dehydrogenase [EC:1.1.-.-]
K08326	487.83	full	all	0.978698	121	71	448	361	1.00	0.589	aminopeptidase [EC:3.4.11.-]
K08327	306.43	full	all	0.984377	507	443	484	249	0.75	0.589	phosducin
K08328	215.40	domain	all	0.977754	1753	1466	1343	319	5.70	0.590	guanylate cyclase activator 1
K08329	149.50	full	all	1.000000	144	142	1377	648	3.93	0.590	autophagy-related protein 17
K08330	286.73	full	trim	0.992063	386	376	4404	1200	10.16	0.590	autophagy-related protein 11
K08331	61.10	full	all	0.995675	1234	1159	5637	494	8.56	0.590	autophagy-related protein 13
K08332	154.67	domain	all	0.978235	725	703	3056	710	6.54	0.590	vacuolar protein 8
K08333	163.67	domain	all	0.998999	1030	997	8464	1371	5.05	0.590	phosphoinositide-3-kinase, regulatory subunit 4 [EC:2.7.11.1]
K08334	56.17	full	all	0.997250	1192	1088	3689	521	5.13	0.590	beclin
K08335	195.93	full	all	1.000000	20	19	555	354	1.80	0.590	autophagy-related protein 14
K08336	45.57	full	all	0.988683	1010	888	1200	208	7.24	0.590	ubiquitin-like protein ATG12
K08337	282.83	domain	all	0.997062	1031	1018	5501	798	2.44	0.590	ubiquitin-like modifier-activating enzyme ATG7
K08338	94.60	full	all	1.000000	18	18	296	161	1.38	0.590	ubiquitin-like-conjugating enzyme ATG10
K08339	84.47	domain	all	0.998876	1011	889	2065	415	5.63	0.590	autophagy-related protein 5
K08340	88.17	full	all	0.958170	24	24	230	132	2.09	0.590	autophagy-related protein 16
K08341	140.57	domain	all	0.962664	3157	1896	1991	218	7.57	0.590	GABA(A) receptor-associated protein
K08342	82.83	full	all	0.999789	2502	2376	8217	515	4.31	0.590	cysteine protease ATG4 [EC:3.4.22.-]
K08343	133.23	full	all	0.997067	1145	1024	2267	430	3.75	0.590	ubiquitin-like-conjugating enzyme ATG3
K08344	383.10	full	all	1.000000	543	466	1407	704	2.15	0.591	suppressor for copper-sensitivity B
K08348	1935.37	domain	trim	0.390257	603	339	1207	1016	0.80	0.591	formate dehydrogenase-N, alpha subunit [EC:1.17.5.3]
K08349	552.47	full	all	0.964129	379	202	426	294	0.82	0.590	formate dehydrogenase-N, beta subunit
K08350	327.07	full	all	0.960889	394	213	463	218	1.71	0.590	formate dehydrogenase-N, gamma subunit
K08351	1016.10	full	trim	0.965469	1054	868	1614	784	1.27	0.590	biotin/methionine sulfoxide reductase [EC:1.-.-.-]
K08352	572.37	domain	all	0.948497	514	468	2367	794	4.35	0.590	thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5]
K08353	307.07	full	all	0.820695	106	54	238	192	1.20	0.591	thiosulfate reductase electron transport protein
K08354	231.40	full	all	1.000000	219	108	389	251	0.89	0.589	thiosulfate reductase cytochrome b subunit
K08355	111.13	full	all	0.984292	202	188	464	188	2.52	0.590	arsenite oxidase small subunit [EC:1.20.2.1 1.20.9.1]
K08356	669.17	full	all	1.000000	138	132	1535	854	1.76	0.590	arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1]
K08357	701.50	full	all	1.000000	397	351	1566	1031	1.64	0.590	tetrathionate reductase subunit A
K08358	257.27	full	all	0.920338	472	380	733	282	2.58	0.590	tetrathionate reductase subunit B
K08359	199.83	full	all	0.996716	366	306	634	356	2.87	0.590	tetrathionate reductase subunit C
K08360	280.30	full	all	0.720470	1698	1574	2184	301	5.18	0.590	transmembrane ascorbate-dependent reductase [EC:7.2.1.3]
K08362	764.13	full	trim	0.918189	437	355	1473	473	1.61	0.590	thyroid hormone receptor beta
K08363	68.50	domain	trim	0.915271	1018	702	621	246	7.70	0.590	mercuric ion transport protein
K08364	81.77	domain	all	0.637940	1317	970	848	241	11.02	0.590	periplasmic mercuric ion binding protein
K08365	161.37	domain	all	0.719854	1110	769	361	185	4.05	0.590	MerR family transcriptional regulator, mercuric resistance operon regulatory protein
K08366	192.43	full	all	0.796494	608	569	1040	312	6.08	0.590	biogenesis of lysosome-related organelles complex 1 subunit 4
K08367	646.97	full	trim	0.783775	481	432	2398	539	3.16	0.590	runt-related transcription factor 1
K08368	397.43	domain	all	0.858407	1132	883	1259	469	4.72	0.590	MFS transporter, putative metabolite transport protein
K08369	366.73	domain	all	0.905450	3729	3104	3060	529	7.15	0.590	MFS transporter, putative metabolite:H+ symporter
K08370	323.93	full	all	0.979581	400	372	690	435	2.02	0.590	plasma membrane ascorbate-dependent reductase [EC:7.2.1.3]
K08371	112.10	full	all	0.989730	791	724	1010	321	6.70	0.590	transmembrane reductase [EC:7.2.1.3]
K08372	421.93	full	all	0.778245	1997	1858	5077	513	3.77	0.590	putative serine protease PepD [EC:3.4.21.-]
K08373	418.13	full	all	0.996491	148	145	596	350	1.22	0.590	C-C chemokine receptor-like 2
K08374	347.67	domain	all	0.935239	603	584	2802	572	5.91	0.590	KISS1 receptor
K08375	435.33	domain	all	0.548098	1592	1559	5535	434	8.48	0.590	neuropeptide FF receptor 2
K08376	327.27	full	all	0.888941	703	687	3153	429	4.37	0.590	neuropeptide S receptor
K08377	565.47	full	all	0.925863	405	376	1078	396	2.55	0.590	neuropeptides B/W receptor 2
K08378	396.20	domain	all	0.799771	699	684	2531	496	7.95	0.590	pyroglutamylated RFamide peptide receptor
K08379	746.20	full	all	0.730128	208	188	1213	420	1.87	0.591	prokineticin receptor 1
K08380	300.47	domain	trim	0.593435	456	421	1074	469	3.75	0.590	prokineticin receptor 2
K08381	427.47	full	all	0.981132	79	78	1288	526	1.50	0.591	G protein-coupled receptor 32
K08382	356.50	domain	trim	0.981867	258	251	696	357	1.59	0.590	G protein-coupled receptor 33
K08383	323.47	domain	trim	0.990717	627	597	841	394	2.63	0.590	G protein-coupled receptor 34
K08384	702.53	full	all	0.859500	1006	881	2548	758	4.23	0.590	stage V sporulation protein D (sporulation-specific penicillin-binding protein)
K08385	335.17	domain	all	0.969002	1007	948	2375	501	3.76	0.590	G0-opsin
K08386	373.53	domain	trim	0.975188	464	449	1028	379	2.26	0.590	P2Y purinoceptor 8
K08387	410.13	full	trim	0.555281	236	226	798	363	1.40	0.589	P2Y purinoceptor 11
K08388	455.77	full	trim	0.903612	522	502	1171	586	2.44	0.590	P2Y purinoceptor 13
K08389	438.83	full	all	0.984337	288	257	875	456	1.68	0.591	G protein-coupled receptor 87
K08390	391.00	domain	all	0.987704	269	248	831	522	1.67	0.590	lysophosphatidic acid receptor 5
K08391	458.37	domain	all	0.987258	395	361	701	337	1.25	0.590	G protein-coupled receptor 174
K08392	332.83	full	all	0.985017	139	136	1008	389	1.94	0.589	Mas-related G protein-coupled receptor member D
K08393	370.70	full	all	1.000000	60	56	524	313	0.73	0.591	Mas-related G protein-coupled receptor member E
K08394	526.77	full	all	0.996337	145	139	724	354	0.65	0.587	Mas-related G protein-coupled receptor member F
K08395	281.03	full	all	0.987651	126	125	1105	447	2.09	0.589	Mas-related G protein-coupled receptor member G
K08396	346.93	full	all	0.917514	785	775	2299	545	5.20	0.590	Mas-related G protein-coupled receptor member X
K08397	477.63	full	all	0.956259	1156	1101	1847	516	1.98	0.590	relaxin family peptide receptor 3
K08398	478.03	full	all	0.961416	145	135	882	417	1.67	0.590	relaxin family peptide receptor 4
K08399	1203.93	full	all	0.926786	622	616	7984	1699	3.87	0.590	leucine-rich repeat-containing G protein-coupled receptor 6
K08400	342.87	full	all	1.000000	339	319	847	431	1.49	0.590	G protein-coupled bile acid receptor 1
K08401	561.93	full	all	0.984760	151	135	549	342	0.76	0.590	hydroxycarboxylic acid receptor 1
K08402	438.33	domain	all	0.785233	814	786	1136	446	3.40	0.590	hydroxycarboxylic acid receptor 2/3
K08403	414.87	full	all	0.976236	274	259	683	361	1.51	0.590	G protein-coupled receptor 15
K08404	373.57	domain	all	0.990750	519	492	937	473	2.59	0.590	G protein-coupled receptor 17
K08405	359.17	domain	all	0.967008	318	309	1248	532	2.85	0.590	G protein-coupled receptor 25
K08406	392.70	full	all	0.977525	140	137	574	315	1.24	0.590	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor
K08407	531.43	full	all	0.967984	420	341	829	349	2.61	0.590	G protein-coupled receptor 52
K08408	475.03	domain	all	0.962494	428	390	1179	386	1.48	0.590	ovarian cancer G-protein coupled receptor 1
K08409	523.47	full	all	0.940894	367	341	723	372	2.63	0.590	G protein-coupled receptor 45
K08410	252.70	domain	all	0.995816	398	359	633	334	1.15	0.589	N-arachidonyl glycine receptor
K08411	459.00	full	trim	0.974684	817	688	1074	555	2.36	0.590	G protein-coupled receptor 26
K08412	377.43	full	all	0.984126	421	414	995	461	1.57	0.590	G protein-coupled receptor 39
K08413	367.27	domain	all	0.985475	411	386	1004	438	1.81	0.590	G protein-coupled receptor 55
K08414	338.43	domain	all	0.995071	863	816	1979	605	2.90	0.590	G protein-coupled receptor 61
K08415	302.77	full	all	0.995984	134	124	497	363	0.68	0.592	G protein-coupled receptor 62
K08416	407.70	full	all	0.931929	375	351	1139	511	2.79	0.590	psychosine receptor
K08417	243.00	full	all	1.000000	388	366	1239	556	1.44	0.589	G protein-coupled receptor 75
K08418	534.10	full	all	0.855750	33	32	620	335	1.23	0.591	G protein-coupled receptor 78
K08419	343.60	domain	all	0.991863	524	500	949	366	1.82	0.590	oxoglutarate (alpha-ketoglutarate) receptor 1
K08420	256.30	domain	all	0.987210	340	313	803	376	2.22	0.590	G protein-coupled receptor 82
K08421	294.87	domain	trim	0.906539	444	425	1331	437	5.36	0.590	G protein-coupled receptor 84
K08422	219.40	full	trim	0.979870	295	230	803	352	1.96	0.590	G protein-coupled receptor 88
K08423	350.40	full	trim	0.985964	306	285	990	433	2.12	0.590	G protein-coupled receptor 101
K08424	232.30	domain	all	0.952615	486	457	1337	437	4.70	0.590	glucose-dependent insulinotropic receptor
K08425	387.37	full	all	0.901680	312	299	1230	440	2.29	0.591	free fatty acid receptor 4
K08426	366.67	domain	all	0.993319	541	525	1925	528	1.87	0.590	G protein-coupled receptor 132
K08427	229.37	full	all	0.997050	352	341	1424	544	2.27	0.590	G protein-coupled receptor 135
K08428	288.27	domain	all	0.904777	927	828	1977	445	6.74	0.590	G protein-coupled receptor 139
K08429	263.07	full	all	1.000000	487	464	797	346	1.53	0.590	G protein-coupled receptor 141
K08430	450.20	full	all	0.957118	368	359	2155	506	3.73	0.590	G protein-coupled receptor 142
K08431	295.47	full	all	1.000000	415	393	931	456	1.42	0.590	G protein-coupled receptor 146
K08432	171.23	domain	trim	0.974489	391	380	877	430	4.40	0.590	G protein-coupled receptor 148
K08433	551.43	full	all	1.000000	399	395	1671	751	1.11	0.590	G protein-coupled receptor 149
K08434	352.53	full	all	0.923175	280	276	1180	471	3.32	0.590	G protein-coupled receptor 150
K08435	262.53	domain	all	1.000000	443	427	997	426	2.00	0.591	G protein-coupled receptor 151
K08436	336.73	full	all	0.990936	166	164	1245	623	1.28	0.589	G protein-coupled receptor 152
K08437	688.97	full	all	0.955575	344	337	2821	770	2.72	0.590	G protein-coupled receptor 153
K08438	177.07	full	all	0.998805	439	419	879	347	3.67	0.590	G protein-coupled receptor 160
K08439	313.17	domain	all	0.941007	510	489	3005	593	5.04	0.590	G protein-coupled receptor 161
K08440	806.03	full	trim	0.985584	268	242	1058	560	0.68	0.588	G protein-coupled receptor 162
K08441	415.13	full	all	0.993827	355	326	970	418	1.15	0.589	G protein-coupled receptor 171
K08442	640.17	full	all	1.000000	403	392	1320	529	0.69	0.591	G protein-coupled receptor 176
K08443	1103.57	full	all	0.870605	220	220	3772	895	1.67	0.589	adhesion G protein-coupled receptor E2
K08444	711.77	domain	all	0.641463	387	386	4762	719	3.24	0.590	adhesion G protein-coupled receptor E3
K08445	856.87	domain	all	0.813093	193	193	2363	757	2.40	0.590	adhesion G protein-coupled receptor E4
K08446	873.03	domain	all	0.796725	543	542	6281	958	3.48	0.590	CD97 antigen
K08447	149.70	domain	trim	0.853970	578	540	1223	280	4.66	0.590	receptor activity modifying protein 1
K08448	159.80	full	all	0.973204	389	365	1026	223	2.43	0.590	receptor activity modifying protein 2
K08449	161.10	full	all	0.965685	385	343	779	219	2.28	0.590	receptor activity modifying protein 3
K08450	548.50	domain	all	0.915531	311	307	2646	759	1.79	0.591	adhesion G-protein coupled receptor G1
K08451	920.10	full	trim	0.815140	600	589	9802	1237	5.09	0.590	adhesion G-protein coupled receptor G2
K08452	478.90	full	all	0.934676	409	401	2900	625	2.30	0.590	adhesion G-protein coupled receptor G3
K08453	936.13	domain	all	0.974103	156	153	1468	910	1.00	0.590	adhesion G-protein coupled receptor F1
K08454	1109.10	full	all	0.996255	138	135	2095	790	0.73	0.592	adhesion G-protein coupled receptor F2
K08455	993.20	full	all	0.941259	362	361	6187	1277	3.29	0.590	adhesion G-protein coupled receptor G4
K08456	625.13	domain	trim	0.968974	416	413	3653	1025	2.93	0.590	adhesion G-protein coupled receptor F3
K08457	935.77	domain	all	0.968345	231	228	1496	703	0.92	0.590	adhesion G-protein coupled receptor F4
K08458	789.30	domain	trim	0.972971	285	266	2200	1339	1.44	0.589	adhesion G-protein coupled receptor F5
K08459	506.77	full	all	0.826113	324	320	2688	617	2.10	0.591	adhesion G-protein coupled receptor G5
K08460	1550.10	full	all	0.588675	474	468	2493	1214	1.63	0.589	adhesion G protein-coupled receptor A1
K08461	1692.00	full	trim	0.972822	379	375	3727	1307	1.48	0.589	adhesion G protein-coupled receptor A2
K08462	1336.53	full	all	0.852694	598	594	6945	1387	3.20	0.590	adhesion G protein-coupled receptor A3
K08463	985.57	domain	all	0.941605	431	428	11062	1297	3.89	0.590	adhesion G-protein coupled receptor G6
K08464	353.60	full	all	1.000000	391	388	4266	860	2.54	0.590	adhesion G-protein coupled receptor G7
K08465	502.63	domain	all	0.873229	536	532	5875	950	6.68	0.590	adhesion G-protein coupled receptor D1
K08466	493.10	full	all	0.987441	484	484	4834	1121	3.23	0.590	adhesion G-protein coupled receptor D2
K08467	150.20	full	all	0.988444	570	556	2101	504	5.77	0.590	G protein-coupled receptor 157
K08468	445.33	domain	all	0.971306	327	316	1000	402	1.30	0.589	G protein-coupled receptor family C group 5 member A
K08469	875.63	full	trim	0.878098	766	761	6997	1002	3.14	0.590	G protein-coupled receptor 158
K08470	137.70	full	all	0.998250	596	573	1973	512	4.45	0.590	ocular albinism type 1 protein
K08471	52.50	domain	all	0.850894	4364	4317	20433	502	34.60	0.590	gustatory receptor
K08472	164.53	full	all	0.998284	2738	2618	4996	580	2.59	0.590	mlo protein
K08473	74.53	full	all	0.813007	1641	1624	8970	480	22.59	0.590	nematode chemoreceptor
K08474	79.43	full	all	0.986518	4437	4319	4533	410	9.77	0.590	taste receptor type 2
K08475	535.27	full	all	0.958472	266	186	1009	675	2.71	0.590	two-component system, NtrC family, phosphoglycerate transport system sensor histidine kinase PgtB [EC:2.7.13.3]
K08476	497.30	full	all	0.930868	256	170	522	418	1.39	0.590	two-component system, NtrC family, phosphoglycerate transport system response regulator PgtA
K08477	655.03	full	all	0.969697	55	18	352	312	0.57	0.592	outer membrane protease E [EC:3.4.21.-]
K08478	405.77	full	all	0.668315	299	224	728	436	2.94	0.590	phosphoglycerate transport regulatory protein PgtC
K08479	365.70	domain	trim	0.973529	165	151	659	388	1.55	0.590	two-component system, OmpR family, clock-associated histidine kinase SasA [EC:2.7.13.3]
K08480	172.23	full	all	1.000000	125	118	492	283	1.72	0.590	circadian clock protein KaiA
K08481	60.13	domain	trim	0.994622	717	561	458	162	4.93	0.590	circadian clock protein KaiB
K08482	149.90	domain	all	0.997821	1708	1608	2086	681	10.19	0.590	circadian clock protein KaiC
K08483	690.17	domain	all	0.750763	5454	4466	3651	927	6.67	0.590	phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I) [EC:2.7.3.9]
K08484	681.13	full	all	0.993720	2180	1759	1382	759	2.45	0.590	phosphotransferase system, enzyme I, PtsP [EC:2.7.3.9]
K08485	113.40	domain	all	0.650994	1297	730	187	91	1.99	0.626	phosphocarrier protein NPr
K08486	218.40	full	all	0.580129	3498	3064	4919	366	8.51	0.590	syntaxin 1B/2/3
K08487	276.33	full	all	0.997560	1091	1026	742	357	2.21	0.590	syntaxin 11
K08488	383.70	domain	trim	0.755797	579	504	759	311	2.59	0.590	syntaxin 7
K08489	142.20	full	all	0.983786	1249	1144	2377	380	5.88	0.590	syntaxin 16
K08490	131.13	domain	all	0.990572	1323	1213	2393	413	4.14	0.590	syntaxin 5
K08491	125.97	full	all	0.993792	603	563	1271	396	4.52	0.590	syntaxin 17
K08492	79.40	full	all	0.997849	984	932	2512	374	5.19	0.590	syntaxin 18
K08493	74.87	full	all	0.983754	2091	1888	2252	310	9.82	0.590	vesicle transport through interaction with t-SNAREs 1
K08494	98.87	full	all	0.982700	560	502	1136	311	5.30	0.590	novel plant SNARE
K08495	82.87	full	all	0.993721	1395	1190	1780	314	5.25	0.590	golgi SNAP receptor complex member 1
K08496	76.53	full	all	0.983737	1086	970	1660	378	7.87	0.590	golgi SNAP receptor complex member 2
K08497	77.57	full	all	0.990598	1117	1006	2343	345	9.81	0.590	protein transport protein SEC20
K08498	401.77	full	all	0.808329	611	530	1861	355	2.87	0.590	syntaxin 6
K08499	169.90	full	all	0.915145	77	75	405	224	2.38	0.590	member of the syntaxin family of t-SNAREs
K08500	188.37	full	trim	0.948587	314	283	735	342	3.14	0.590	syntaxin of plants SYP6
K08501	131.60	full	all	0.899409	776	723	2085	541	5.94	0.590	syntaxin 8
K08502	175.63	full	all	1.000000	148	146	1527	732	2.99	0.589	regulator of vacuolar morphogenesis
K08503	149.50	full	all	0.973017	421	382	689	295	3.40	0.590	syntaxin of plants SYP5
K08504	65.27	domain	all	0.977911	1804	1514	1564	222	11.18	0.590	blocked early in transport 1
K08505	72.00	full	all	0.972178	339	297	469	193	4.10	0.590	protein transport protein SFT1
K08506	82.83	full	all	0.983475	511	481	1196	322	5.66	0.590	syntaxin of plants SYP7
K08507	43.73	full	all	0.998240	938	851	1997	396	8.41	0.590	unconventional SNARE in the endoplasmic reticulum protein 1
K08508	328.17	domain	all	0.933797	454	403	704	262	1.88	0.591	synaptosomal-associated protein 23
K08509	139.90	full	all	0.979349	663	614	1390	339	4.97	0.590	synaptosomal-associated protein 29
K08510	239.67	full	all	0.859137	384	300	661	171	1.42	0.591	vesicle-associated membrane protein 1
K08511	261.83	full	all	0.963676	1174	1011	1369	346	3.65	0.590	vesicle-associated membrane protein 72
K08512	157.77	full	trim	0.896657	531	423	664	228	3.81	0.590	vesicle-associated membrane protein 8
K08513	137.13	domain	all	0.926232	718	569	753	246	5.86	0.590	vesicle-associated membrane protein 4
K08514	121.40	domain	all	0.935225	361	331	494	169	3.36	0.590	vesicle-associated membrane protein 5
K08515	261.10	domain	all	0.835616	1701	1458	1900	349	11.88	0.590	vesicle-associated membrane protein 7
K08516	107.33	full	all	0.992319	1278	1106	1576	306	4.65	0.590	synaptobrevin homolog YKT6
K08517	156.17	full	all	0.987043	1455	1125	1441	340	4.54	0.590	vesicle transport protein SEC22
K08518	650.13	full	all	0.828050	1611	1555	10529	1149	4.60	0.590	syntaxin-binding protein 5
K08519	189.83	full	all	1.000000	507	370	1184	357	2.24	0.590	syntaxin-binding protein 6
K08520	201.93	full	all	0.999343	857	763	1274	382	2.80	0.590	SEC22 vesicle trafficking protein A/C
K08521	156.43	full	all	0.773829	287	269	689	201	1.65	0.591	lutropin subunit beta
K08522	70.17	full	all	1.000000	422	327	436	204	1.79	0.589	glycoprotein hormones alpha chain
K08523	171.83	full	trim	0.989082	463	417	914	267	2.15	0.590	heparin-binding EGF-like growth factor
K08524	844.60	full	all	0.699817	682	564	3199	591	2.84	0.590	retinoid X receptor alpha
K08525	853.53	full	all	0.954153	335	286	1801	595	1.13	0.589	retinoid X receptor beta
K08526	842.87	full	all	0.859122	402	355	1501	526	1.91	0.590	retinoid X receptor gamma
K08527	886.37	full	all	0.924655	479	384	2066	588	1.78	0.590	retinoic acid receptor alpha
K08528	853.47	full	all	0.762910	525	441	2280	539	2.39	0.590	retinoic acid receptor beta
K08529	853.77	full	all	0.942939	477	409	1806	589	1.72	0.589	retinoic acid receptor gamma
K08530	686.20	full	all	0.917123	471	393	2563	551	2.17	0.590	peroxisome proliferator-activated receptor gamma
K08531	759.07	full	all	0.954307	549	517	2476	696	2.90	0.590	nuclear receptor subfamily 1 group D member 2
K08532	729.67	full	all	0.895098	647	541	2325	594	3.21	0.590	RAR-related orphan receptor alpha
K08533	703.37	full	all	0.924779	827	740	3151	529	2.88	0.590	RAR-related orphan receptor beta
K08534	712.60	full	all	0.901808	214	205	2048	612	1.35	0.591	RAR-related orphan receptor gamma
K08535	706.90	full	trim	0.933763	199	173	1207	458	1.51	0.591	liver X receptor beta
K08536	715.50	full	all	0.915254	436	393	1913	557	2.61	0.590	liver X receptor alpha
K08537	657.80	full	all	0.966205	416	397	1502	522	1.81	0.590	farnesoid X receptor
K08538	601.20	domain	all	0.975463	346	335	1704	600	1.70	0.590	farnesoid X receptor beta
K08539	469.20	full	all	0.896779	618	578	2921	534	4.18	0.590	vitamin D3 receptor
K08540	520.57	full	all	0.958507	263	261	2406	545	2.27	0.590	pregnane X receptor
K08541	512.70	full	all	0.952450	212	207	2065	488	2.40	0.589	constitutive androstane receptor
K08542	731.83	domain	all	0.690806	253	248	1412	484	1.49	0.590	hepatocyte nuclear factor 4-beta
K08543	976.63	full	all	0.943394	429	402	1525	699	1.70	0.590	testicular receptor 2
K08544	1012.30	full	all	0.867440	466	398	2469	691	2.20	0.590	testicular receptor 4
K08545	477.93	domain	all	0.823135	733	606	3300	492	3.19	0.590	nuclear receptor subfamily 2 group E member 1
K08546	477.27	full	all	0.855347	852	813	4008	454	2.76	0.590	nuclear receptor subfamily 2 group E member 3
K08547	839.43	domain	all	0.542648	488	289	2078	449	2.32	0.590	COUP transcription factor 1
K08548	820.13	domain	all	0.625898	524	290	1436	441	1.47	0.590	COUP transcription factor 2
K08549	729.07	domain	all	0.927193	480	391	1779	488	1.17	0.590	nuclear receptor subfamily 2 group F member 6
K08550	700.13	full	all	0.938887	415	401	3224	736	2.21	0.589	estrogen receptor alpha
K08551	753.70	full	all	0.959917	524	514	1973	691	1.46	0.589	estrogen receptor beta
K08552	737.30	full	all	0.960281	313	230	1014	477	1.06	0.589	estrogen-related receptor alpha
K08553	906.60	full	trim	0.845808	499	394	2007	585	1.90	0.590	estrogen-related receptor beta
K08554	792.07	full	trim	0.580015	691	515	1801	483	1.83	0.589	estrogen-related receptor gamma
K08555	754.53	full	all	0.982236	406	396	2362	977	1.49	0.590	mineralocorticoid receptor
K08556	729.83	full	trim	0.978365	359	323	1949	793	1.09	0.589	progesterone receptor
K08557	768.00	full	all	0.969941	469	464	2576	859	1.60	0.589	androgen receptor
K08558	727.90	full	all	0.886389	716	588	3753	674	1.92	0.589	nuclear receptor subfamily 4 group A member 2
K08559	936.10	full	trim	0.971915	392	364	1801	716	0.86	0.590	nuclear receptor subfamily 4 group A member 3
K08560	868.17	full	trim	0.895245	241	214	1321	543	0.96	0.589	steroidogenic factor 1
K08561	395.47	full	all	0.992592	444	406	2540	534	1.20	0.590	germ cell nuclear factor
K08562	336.57	full	trim	0.950077	416	398	1220	381	2.04	0.590	nuclear receptor subfamily 0 group B member 1
K08563	353.23	full	all	0.967731	535	509	831	397	2.47	0.590	nuclear receptor subfamily 0 group B member 2
K08564	293.70	full	all	0.969697	19	19	376	229	1.03	0.589	vacuolar v-SNARE NYV1
K08565	577.73	domain	all	0.957730	172	170	1170	448	0.96	0.591	napsin-A [EC:3.4.23.-]
